word,pinyin,meaning
安装,ānzhuāng,設置する・インストールする
把握,bǎwò,把握する・チャンスをつかむ
摆,bǎi,並べる・置く
办理,bànlǐ,手続きする
傍晚,bàngwǎn,夕方
宝贵,bǎoguì,貴重だ
避免,bìmiǎn,避ける
表达,biǎodá,表現する
表明,biǎomíng,明らかにする・表明する
表现,biǎoxiàn,現れ・表れ・ふるまい
并且,bìngqiě,しかも
玻璃,bōli,ガラス
不安,bù'ān,不安だ
不如,bùrú,〜に及ばない
不足,bùzú,不足だ
采取,cǎiqǔ,（措置を）講じる
财产,cáichǎn,財産
参考,cānkǎo,参考にする
参与,cānyù,参加する・関与する
操场,cāochǎng,運動場
测试,cèshì,テストする
曾经,céngjīng,かつて
差距,chājù,格差・差
产品,chǎnpǐn,製品
常识,chángshí,常識
抄,chāo,書き写す
潮湿,cháoshī,湿っぽい
吵,chǎo,騒がしい・けんかする
彻底,chèdǐ,徹底的だ
沉默,chénmò,無口だ・黙る
称,chēng,〜と称する／重さを量る
承担,chéngdān,担う・引き受ける
程度,chéngdù,程度
成长,chéngzhǎng,成長する
诚恳,chéngkěn,誠実である
持续,chíxù,持続する
冲,chōng,突進する／（水で）洗う
重复,chóngfù,繰り返す
抽象,chōuxiàng,抽象的だ
丑,chǒu,醜い
出色,chūsè,優れている
初级,chūjí,初級
处理,chǔlǐ,処理する
传播,chuánbō,広める・伝播する
传染,chuánrǎn,感染する
传统,chuántǒng,伝統
窗帘,chuānglián,カーテン
创造,chuàngzào,創造する
次要,cìyào,二次的・重要でない
从事,cóngshì,従事する
促使,cùshǐ,促す
措施,cuòshī,措置
答应,dāying,承諾する
达到,dádào,達する
打工,dǎ gōng,アルバイトする
打交道,dǎ jiāodao,付き合う・交渉する
大厦,dàshà,高層ビル
代替,dàitì,代替する
待遇,dàiyù,待遇
单纯,dānchún,単純だ
单调,dāndiào,単調だ
单位,dānwèi,機関・職場・単位
担任,dānrèn,（職務を）務める
耽误,dānwu,遅らせる・差し支える
淡,dàn,薄い・淡い
当地,dāngdì,当地・現地
导致,dǎozhì,〜を引き起こす
到达,dàodá,到着する
登记,dēngjì,登録する・記帳する
等待,děngdài,待つ
等于,děngyú,〜に等しい
滴,dī,滴（量詞）／滴る
地道,dìdao,本場の・純粋な
地域,dìyù,地域
电台,diàntái,ラジオ局
动画片,dònghuàpiàn,アニメ
独立,dúlì,独立する
独特,dútè,独特だ
度过,dùguò,過ごす
对待,duìdài,扱う・対応する
对手,duìshǒu,ライバル
吨,dūn,トン
发表,fābiǎo,発表する
发达,fādá,発達している
发明,fāmíng,発明する
罚款,fákuǎn,罰金を科す
反而,fǎn'ér,かえって
反复,fǎnfù,繰り返す
反应,fǎnyìng,反応
范围,fànwéi,範囲
方面,fāngmiàn,方面
仿佛,fǎngfú,まるで〜のようだ
非,fēi,非・〜でない
废话,fèihuà,無駄話
费用,fèiyòng,費用
分别,fēnbié,別れる／それぞれ
纷纷,fēnfēn,相次いで
奋斗,fèndòu,奮闘する
