word,pinyin,meaning
挨,āi,（順に）〜に当たる／こらえる
哎哟,āiyo,（痛み驚き）あいたっ・あれっ
癌症,áizhèng,がん
暧昧,àimèi,曖昧だ
案件,ànjiàn,案件
案例,ànlì,事例・ケース
安置,ānzhì,配置する・住まわせる
把关,bǎguān,関所を守る／厳しくチェックする
罢工,bàgōng,ストライキする
霸道,bàdao,横暴だ／（味が）きつい
拜访,bàifǎng,訪問する
败坏,bàihuài,（名誉などを）損なう
颁布,bānbù,公布する
斑马,bānmǎ,シマウマ
版本,bǎnběn,バージョン
伴侣,bànlǚ,伴侶
绊倒,bàndǎo,つまずく
绑架,bǎngjià,拉致する
榜样,bǎngyàng,模範
保管,bǎoguǎn,保管する
保障,bǎozhàng,保障する
保重,bǎozhòng,体を大事にする
报酬,bàochou,報酬
暴露,bàolù,露呈する・暴く
爆发,bàofā,爆発する・勃発する
备份,bèifèn,バックアップ
背叛,bèipàn,裏切る
背诵,bèisòng,暗唱する
奔波,bēnbō,奔走する
本能,běnnéng,本能
笨拙,bènzhuō,不器用だ
崩溃,bēngkuì,崩壊する
甭,béng,〜する必要はない
逼迫,bīpò,強いる
比方,bǐfang,例える
比喻,bǐyù,比喩
臂,bì,腕
弊端,bìduān,弊害
必定,bìdìng,きっと・必ず
闭塞,bìsè,閉ざされる・不通だ
边缘,biānyuán,縁・境界
扁,biǎn,平たい・薄い
便利,biànlì,便利だ
变迁,biànqiān,変遷する
辩护,biànhù,弁護する
辩论,biànlùn,討論する
标本,biāoběn,標本
标题,biāotí,見出し
表决,biǎojué,採決する
表态,biǎotài,態度を表明する
憋,biē,息を止める／我慢する
别扭,bièniu,ぎこちない・気まずい
冰雹,bīngbáo,雹
并非,bìngfēi,必ずしも〜ではない
并列,bìngliè,並列する
拨,bō,（電話を）かける・かきわける
波涛,bōtāo,大波
剥削,bōxuē,搾取する
博览会,bólǎnhuì,博覧会
搏斗,bódòu,格闘する
薄弱,bóruò,脆弱だ
不愧,búkuì,〜にふさわしい
不耐烦,bú nàifán,いらいらする
不妨,búfáng,〜しても差し支えない
不可思议,bùkěsīyì,不可思議だ
不由得,bùyóude,思わず
布局,bùjú,レイアウト
部署,bùshǔ,配備・配置する
步骤,bùzhòu,手順
部位,bùwèi,部位
才干,cáigàn,才能・手腕
财务,cáiwù,財務
采购,cǎigòu,調達する
裁缝,cáifeng,仕立て屋
裁员,cáiyuán,人員削減する
财政,cáizhèng,財政
残酷,cánkù,残酷だ
残留,cánliú,残留する
惭愧,cánkuì,恥じる
灿烂,cànlàn,燦爛だ・きらびやか
仓库,cāngkù,倉庫
苍白,cāngbái,青白い
